№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
58	'Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 46 Департамента здравоохранения города Москвы"	Воронцовская ул. 14/14 стр.1	(495)912-78-11	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
59	''Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 3 Департамента здравоохранения города Москвы"	Николопесковский Б. пер. 4 стр.1	(495)241-18-62	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
60	Аптечный пункт. Филиал № 4 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 68 Департамента здравоохранения города Москвы"	г. Москва, 1-й Зачатьевский пер., д. 1/15 (Предчистенская наб., д.15/1, стр.2)	(499)766-97-49	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
61	'Аптечный пункт. Филиал №3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 220 Департамента здравоохранения города Москвы"	Расторгуевский пер. 3	(499)253-99-66	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 08:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК"127238, Москва  Линейный проезд, д. 8, помещение 1, комн. 1-7	Аптечный пункт
62	'Аптечный пункт. Филиал № 3  Государственного бюджетного учреждения города Москвы " Диагностический центр № 5  Департамента здравоохранения города Москвы"	Шенкурский пр. 8А	(499)207-69-95	Пн 07:00 - 20:00; Вт 07:00 - 20:00; Ср 07:00 - 20:00; Чт 07:00 - 20:00; Пт 07:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
63	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 175 Департамента здравоохранения города Москвы"	Сиреневый бульв. 30	(495) 465-99-31	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
64	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 191 Департамента здравоохранения города Москвы"	Чусовская ул. 9	(495) 467-74-22	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
65	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 9 Департамента здравоохранения города Москвы"	Есенинский бульв. 9 к.1	(499) 172-08-04	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00	ООО "Фармацевтический логистический оператор "ВОСТОК" г.Москва, 140180, Россия, МО, г.Жуковский, ул. Кооперативная, д.10, стр.3	Аптечный пункт
66	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 191 Департамента здравоохранения города Москвы"	Сиреневый бульв. 71А	(495) 468-04-69	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
67	Аптечный пункт. Филиал № 5 ГБУЗ города Москвы "Городская поликлиника № 22 Департамента здравоохранения города Москвы"	Вавилова ул. 71 с.1	(499) 132-75-71	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00	ОАО "ФАРМИМЭКС" 125009, г.Москва. ул.Б. Дмитровка, д.7,/5, стр.5. а/я 120	Аптечный пункт
68	Аптечный пункт. ГБУЗ "Городская поликлиника № 107 Департамента здравоохранения города Москвы"	Декабристов ул. 24	(499) 907-63-04	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 20:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
69	Аптечный пункт.  Филиал № 3 ГБУЗ города Москвы "Городская поликлиника № 218 Департамента здравоохранения города Москвы"	Напрудная 1-я ул. 15	(495) 475-97-75	Пн 07:00 - 20:00; Вт 07:00 - 20:00; Ср 07:00 - 20:00; Чт 07:00 - 20:00; Пт 07:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
70	Аптечный пункт. Филиал № 4 ГБУЗ города Москвы "Городская поликлиника № 5 Департамента здравоохранения города Москвы"	Протопоповский пер. 19 с.15	(495) 680-32-29	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ООО "БИОТЭК" 129515, ул.Хованская. Д.22	Аптечный пункт
71	Аптечный пункт. Филиал № 4 ГБУЗ города Москвы "Консультативно-диагностический центр № 6 Департамента здравоохранения города Москвы"	Бескудниковский бульв. 5	(499) 489-21-64	Пн 07:00 - 20:00; Вт 07:00 - 20:00; Ср 07:00 - 20:00; Чт 07:00 - 20:00; Пт 07:00 - 20:00; Сб 09:00 - 18:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД" 125363, г.Москва. ул.Новопоселковая, д.6, кор.217	Аптечный пункт
72	Аптечный пункт. Филиал № 4 ГБУЗ города Москвы "Городская поликлиника № 191 Департамента здравоохранения города Москвы"	Амурская ул. 36	(499) 163-96-29	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ВИЛАРД" 127473, г.Москва, пер.1-ый Волконский, д.10, стр.1, а/я - 74	Аптечный пункт
73	Аптечный пункт. Филиал № 1 ГБУЗ города Москвы "Городская поликлиника № 219 Департамента здравоохранения города Москвы"	Вилиса Лациса ул. 23 к.2	(499) 496-31-65	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД" 125363, г.Москва. ул.Новопоселковая, д.6, кор.217	Аптечный пункт
74	Аптечный пункт.  ГБУЗ "Городская поликлиника № 115 Департамента здравоохранения города Москвы"	Демьяна Бедного ул. 8	(499) 946-32-06	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "СИА ИНТЕРНЕЙШНЛ ЛТД" 125363, г.Москва. ул.Новопоселковая, д.6, кор.217	Аптечный пункт
75	Аптечный пункт. Филиал № 2 ГБУЗ города Москвы "Городская поликлиника № 8 Департамента здравоохранения города Москвы"	Двадцати Шести Бак.Ком. 10 к.5	(495) 434-26-68	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "ФТК "Время" г.Москва. Очаковское ш., д.10, кор.2, стр.1	Аптечный пункт
