№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
141	ГБОУ ДОДСН ФСО "Хоккей Москвы" ДЮСШ "Серебряный акулы"	улица Генерала Глаголева, дом 10, корпус 3	Департамент физической культуры и спорта города Москвы	(499) 199-25-80	fso-hockeymoscow.ru	fso.hm@mossport.ru	СЗАО	Хорошево-Мневники	центры дополнительного образования
142	ГБОУ ДОСН "СДЮСШОР по теннису "Олимпиец"	улица Коштоянца, дом 20	Департамент физической культуры и спорта города Москвы	-	-	-	ЗАО	Тропарёво-Никулино	центры дополнительного образования
143	ГБОУ ДОСН "СДЮСШОР по теннису "Олимпиец"	улица Удальцова, дом 54	Департамент физической культуры и спорта города Москвы	(495) 431-90-70 (495) 922-41-44	-	-	ЗАО	Проспект Вернадского	центры дополнительного образования
144	ГБОУ ДОСН ДЮСШ № 96 "Борец"	Боровское шоссе, дом 37, корпус 1	Департамент физической культуры и спорта города Москвы	(495) 733-57-67	borec.ru	info@borec.ru	ЗАО	Ново-Переделкино	центры дополнительного образования
145	ГБОУ ДОСН ДЮСШ № 96 "Борец"	улица Богданова, дом 12, корпус 2	Департамент физической культуры и спорта города Москвы	(495) 934-39-19	borec.ru	info@borec.ru	ЗАО	Солнцево	центры дополнительного образования
146	ГБОУ СДЮСШОР  "Москвич"	Волгоградский проспект, дом 46/15	Департамент физической культуры и спорта города Москвы	(499) 178-34-74	skmmsk.ru	moskvich@skmmsk.ru	ЮВАО	Текстильщики	физкультурно-оздоровительные комплексы
147	ГБОУ СПО	Ярославское шоссе, дом 13, корпус 1	Департамент образования города Москвы	(495) 182-51-10	-	-	СВАО	Ярославский	спортивные залы
148	ГБОУ Центр детского творчества "Матвеевское"	улица Веерная, дом 38, корпус 1	Департамент образования города Москвы	(495) 442-36-61 (495) 442-95-43	-	-	ЗАО	Очаково-Матвеевское	досуговые центры
149	Геронтопсихиатрический центр милосердия	Шипиловский проезд, дом 31	Департамент социальной защиты населения города Москвы	-	-	-	ЮАО	Орехово-Борисово	лечебные и оздоровительные центры
150	Государственная некоммерческое учреждение "Муниципальный Центр культуры, эстетического воспитания и досуга"	улица Куусинена, дом 7, корпус 1	Муниципалитет	(495) 941-54-25	moshor.ru	-	САО	Хорошевский	досуговые центры
151	Государственная некоммерческое учреждение "Муниципальный Центр культуры, эстетического воспитания и досуга"	Хорошевское шоссе, дом 52, корпус 2	Муниципалитет	(495) 941-54-25	moshor.ru	-	САО	Хорошевский	досуговые центры
152	Государственное автономное учреждение "Московский Центр Боевых Искусств"	Варшавское шоссе, дом 118, корпус 1	Департамент физической культуры и спорта города Москвы	(495) 627-76-71	mcbi.ru	kuznetsov@mcbi.ru	ЮАО	Чертаново Северное	досуговые центры
153	Государственное учреждение  "Екатерининский парк"	улица Большая Екатерининская, дом 27	Департамент социальной защиты населения города Москвы	-	-	-	ЦАО	Мещанский	плоскостные спортивные сооружения
