0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
328;546;ст.м.Рязанский проспект - Красково (п.Коренево);Рязанский проспект-прям. напр. :,Рязанский проспект,Московская Кольцевая Автодорога,Лермонтовский проспектобр. напр. ::;10;Не регламентируется;Не регламентируется;19;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 36";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 36";ООО СТАФФТРАНС-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
333;550;Донской-Узловая-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссеобр. напр. :: г Донской,г Узловая,г Москва;9;Не регламентируется;Не регламентируется;229;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .10:00 09:00отпр.12:20 10:50";"день нед.: 1,2,3,4,5,6,7; приб. .10:00 09:00отпр.12:20 10:50";ООО ДОНТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
338;555;Волгодонск(Ростовская обл.)-г.Москва-Волгодонск;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 27-й километробр. напр. :: г Каменск-Шахтинский,г Морозовск,г Волгодонск,г Москва,г Богучар;3;Не регламентируется;Не регламентируется;1143;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .10:00отпр.19:30";"день нед.: 1,2,3,4,5,6,7; приб. .10:00отпр.19:30";ООО АВТО-ТРЕВЕЛ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
343;560;Томилино (ул.Пионерская) - м.Выхино;Выхино-прям. напр. :,улица Хлобыстова,Рязанский проспект,Лермонтовский проспектобр. напр. ::;15;Не регламентируется;Не регламентируется;12,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 270";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 270";ООО АВТОТРАНССЕРВИС-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
348;566;Красногорск(м/рЧернево)-Москва(м.Тушинская);Тушинская-прям. напр. :,проезд Стратонавтов,Волоколамское шоссеобр. напр. ::;5;Не регламентируется;Не регламентируется;12;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 100";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 100";ООО АВТОМАГИСТРАЛЬ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
351;569;Тарасково– Москва (м. Юго-Западная);Юго-Западная-прям. напр. :,проспект Вернадского,Ленинский проспектобр. напр. ::;8;Не регламентируется;Не регламентируется;46,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 64";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 64";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
352;572;Долгопрудный (м/р Шереметьевский) - м.Алтуфьево;Алтуфьево-прям. напр. :,Алтуфьевское шоссе,Череповецкая улица,Лианозовский проезд,Дмитровское шоссе,МКАД, 82-й километробр. напр. ::;8;Не регламентируется;Не регламентируется;17,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 56";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 56";ООО ДОЛГОПРУДНЕНСКОЕ АТП;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
356;575;Алатырь-Москва(Щелковский АВ);Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 109-й километробр. напр. :: г Сергач,г Вязники,г Москва;10;Не регламентируется;Не регламентируется;716;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .06:05отпр.16:30";"день нед.: 1,2,3,4,5,6,7; приб. .06:05отпр.16:30";ГУП ЧР ЧУВАШАВТОТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
357;576;г.Королев(ул.Селикатная) - ст.м.ВДНХ;ВДНХ-прям. напр. :,проспект Мира,Ярославское шоссеобр. напр. ::;8;Не регламентируется;Не регламентируется;22,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 24";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 24";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
361;582;г.Железнодорожный (м/р Павлино)-Москва (м.Выхино);Выхино-прям. напр. :,Реутовская улица,Вешняковская улицаобр. напр. ::;6;Не регламентируется;Не регламентируется;16;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 84";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 84";ООО КЛАКСОН;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
362;582;Железнодорожный (м/р.Павлино) - Москва (м.Выхино);Выхино-прям. напр. :,улица Красный Казанец,Вешняковская улица,Реутовская улица,Кетчерская улицаобр. напр. ::;15;Не регламентируется;Не регламентируется;16;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 150";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 150";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
366;587;Монино (ВВА им.Ю.А.Гагарина) - м.Перово;-прям. напр. :,Зелёный проспект,Свободный проспект,Саянская улица,улица Сталеваров,шоссе Энтузиастовобр. напр. ::;20;Не регламентируется;Не регламентируется;32;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ВЕГА-ВЕЙ-АВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
367;589;"Гипермаркет Ашан-Красногорск"" -ст.м.Тушинская""";Тушинская-прям. напр. :,Волоколамское шоссе,Московская Кольцевая Автодорогаобр. напр. ::;5;Не регламентируется;Не регламентируется;6,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";ООО АВТОРОУД (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
371;596;м.Планерная - Химки (ТЦ ОБИ);Планерная-прям. напр. :обр. напр. ::;12;Не регламентируется;Не регламентируется;8,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 136";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 136";ООО СТАРПРОФИ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
